dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,110.789540,275.376358,0.240266,1.355904,4.452209,7.627389,0.001027
0.020000,110.818499,275.376390,0.269226,1.447989,4.604252,7.602153,0.001151
0.020000,110.849362,275.376427,0.300088,1.543129,4.756990,7.636914,0.001282
0.020000,110.882188,275.376471,0.332915,1.641325,4.909791,7.640042,0.001421
0.020000,110.917040,275.376523,0.367766,1.742576,5.062563,7.638603,0.001568
0.020000,110.953978,275.376584,0.404704,1.846894,5.215906,7.667149,0.001724
0.020000,110.993063,275.376655,0.443790,1.954282,5.369406,7.675025,0.001888
0.020000,111.034358,275.376736,0.485085,2.064745,5.523117,7.685534,0.002060
0.020000,111.077924,275.376830,0.528651,2.178287,5.677112,7.699770,0.002241
0.020000,111.123822,275.376937,0.574549,2.294915,5.831408,7.714808,0.002431
0.020000,111.172115,275.377060,0.622842,2.414636,5.986022,7.730672,0.002631
0.020000,111.222863,275.377198,0.673591,2.537455,6.140970,7.747381,0.002839
0.020000,111.276131,275.377355,0.726858,2.663380,6.296269,7.764957,0.003056
0.020000,111.331979,275.377532,0.782707,2.792419,6.451937,7.783421,0.003283
0.020000,111.390470,275.377731,0.841198,2.924579,6.607993,7.802795,0.003519
0.020000,111.451667,275.377954,0.902396,3.059864,6.764264,7.813574,0.003765
0.020000,111.515632,275.378203,0.966361,3.198288,6.921199,7.846727,0.004020
0.020000,111.582429,275.378481,1.033158,3.339861,7.078618,7.870957,0.004285
0.020000,111.652120,275.378789,1.102850,3.484580,7.235977,7.867935,0.004559
0.020000,111.724769,275.379130,1.175500,3.632472,7.394609,7.931590,0.004843
0.020000,111.800438,275.379508,1.251170,3.783530,7.552873,7.913235,0.005136
0.020000,111.879193,275.379924,1.329926,3.937778,7.712390,7.975843,0.005439
0.020000,111.961096,275.380383,1.411830,4.095219,7.872081,7.984553,0.005751
0.020000,112.046212,275.380886,1.496947,4.255863,8.032182,8.005014,0.006073
0.020000,112.134604,275.381437,1.585342,4.419726,8.193174,8.049604,0.006404
0.020000,112.226339,275.382041,1.677078,4.586819,8.354650,8.073806,0.006745
0.020000,112.321480,275.382699,1.772221,4.757154,8.516722,8.103590,0.007094
0.020000,112.420092,275.383416,1.870836,4.930743,8.679450,8.136435,0.007453
0.020000,112.522241,275.384196,1.972988,5.107600,8.842860,8.170474,0.007820
0.020000,112.627992,275.385043,2.078743,5.287736,9.006806,8.197307,0.008196
0.020000,112.737412,275.385961,2.188166,5.471170,9.171700,8.244683,0.008580
0.020000,112.850566,275.386954,2.301325,5.657917,9.337348,8.282400,0.008973
0.020000,112.967520,275.388027,2.418284,5.847985,9.503393,8.302247,0.009373
0.020000,113.088343,275.389185,2.539112,6.041400,9.670744,8.367556,0.009781
0.020000,113.213100,275.390431,2.663876,6.238167,9.838353,8.380453,0.010197
0.020000,113.341859,275.391771,2.792642,6.438314,10.007337,8.449220,0.010619
0.020000,113.474689,275.393210,2.925479,6.641851,10.176872,8.476762,0.011048
0.020000,113.611656,275.394753,3.062455,6.848797,10.347289,8.520845,0.011483
0.020000,113.752830,275.396406,3.203638,7.059171,10.518710,8.571040,0.011923
0.020000,113.898279,275.398173,3.349098,7.272993,10.691126,8.620779,0.012369
0.020000,114.048072,275.400059,3.498904,7.490280,10.864347,8.661077,0.012820
0.020000,114.202280,275.402072,3.653125,7.711056,11.038765,8.720898,0.013275
0.020000,114.360973,275.404215,3.811832,7.935339,11.214183,8.770904,0.013734
0.020000,114.524220,275.406495,3.975095,8.163150,11.390546,8.818140,0.014196
0.020000,114.692062,275.408917,4.142954,8.392977,11.491317,5.038560,0.014660
0.020000,114.864509,275.411485,4.315420,8.623305,11.516393,1.253789,0.015125
0.020000,115.041571,275.414205,4.492503,8.854146,11.542074,1.284066,0.015592
0.020000,115.223258,275.417081,4.674213,9.085509,11.568157,1.304150,0.016058
0.020000,115.409582,275.420116,4.860562,9.317415,11.595284,1.356313,0.016523
0.020000,115.600552,275.423316,5.051559,9.549872,11.622876,1.379644,0.016986
0.020000,115.796181,275.426685,5.247217,9.782895,11.651138,1.413102,0.017445
0.020000,115.996480,275.430225,5.447547,10.016497,11.680075,1.446823,0.017902
0.020000,116.201460,275.433942,5.652561,10.250687,11.709517,1.472109,0.018353
0.020000,116.411134,275.437837,5.862270,10.485485,11.739880,1.518140,0.018798
0.020000,116.625513,275.441915,6.076688,10.720901,11.770814,1.546690,0.019236
0.020000,116.844610,275.446177,6.295827,10.956944,11.802153,1.566952,0.019666
0.020000,117.068439,275.450627,6.519700,11.193635,11.834539,1.619300,0.020087
0.020000,117.297011,275.455267,6.748320,11.430982,11.867358,1.640949,0.020498
0.020000,117.530341,275.460097,6.981700,11.668996,11.900722,1.668234,0.020898
0.020000,117.768442,275.465120,7.219854,11.907696,11.935005,1.714117,0.021285
0.020000,118.011328,275.470337,7.462795,12.147093,11.969808,1.740163,0.021659
0.020000,118.259013,275.475747,7.710539,12.387198,12.005280,1.773593,0.022017
0.020000,118.511511,275.481351,7.963100,12.628025,12.041366,1.804288,0.022360
0.020000,118.768838,275.487148,8.220492,12.869588,12.078151,1.839256,0.022686
0.020000,119.031007,275.493138,8.482730,13.111902,12.115673,1.876131,0.022993
0.020000,119.298035,275.499318,8.749829,13.354976,12.153693,1.901000,0.023280
0.020000,119.569937,275.505685,9.021806,13.598826,12.192525,1.941585,0.023547
0.020000,119.846729,275.512239,9.298675,13.843464,12.231875,1.967507,0.023791
0.020000,120.128427,275.518974,9.580453,14.088905,12.272042,2.008323,0.024011
0.020000,120.415046,275.525886,9.867156,14.335160,12.312777,2.036763,0.024207
0.020000,120.706605,275.532970,10.158801,14.582244,12.354195,2.070900,0.024376
0.020000,121.003120,275.540221,10.455405,14.830170,12.396293,2.104917,0.024517
0.020000,121.304608,275.547632,10.756984,15.078951,12.439069,2.138810,0.024629
0.020000,121.611087,275.555195,11.063556,15.328602,12.482521,2.172577,0.024710
0.020000,121.922574,275.562902,11.375138,15.579135,12.526645,2.206218,0.024759
0.020000,122.239088,275.570743,11.691750,15.830563,12.571440,2.239733,0.024775
0.020000,122.560648,275.578709,12.013408,16.082902,12.616938,2.274901,0.024755
0.020000,122.887271,275.586788,12.340131,16.336165,12.663123,2.309268,0.024698
0.020000,123.218977,275.594968,12.671938,16.590364,12.709977,2.342670,0.024604
0.020000,123.555786,275.603235,13.008848,16.845515,12.757539,2.378122,0.024469
0.020000,123.897717,275.611574,13.350881,17.101631,12.805823,2.414173,0.024293
0.020000,124.244790,275.619971,13.698056,17.358727,12.854774,2.447575,0.024074
0.020000,124.597026,275.628407,14.050392,17.616816,12.904438,2.483167,0.023810
0.020000,124.954444,275.636864,14.407910,17.875913,12.954858,2.521028,0.023500
0.020000,125.317066,275.645324,14.770631,18.136031,13.005917,2.552951,0.023141
0.020000,125.684913,275.653764,15.138575,18.397185,13.057692,2.588757,0.022733
0.020000,126.058006,275.662163,15.511762,18.659391,13.110311,2.630947,0.022273
0.020000,126.436367,275.670496,15.890216,18.922661,13.163488,2.658845,0.021760
0.020000,126.820019,275.678738,16.273956,19.187013,13.217581,2.704630,0.021191
0.020000,127.208983,275.686862,16.663005,19.452456,13.272192,2.730565,0.020566
0.020000,127.603283,275.694839,17.057385,19.719010,13.327688,2.774808,0.019882
0.020000,128.002941,275.702638,17.457119,19.986689,13.383918,2.811482,0.019137
0.020000,128.407980,275.710228,17.862229,20.255506,13.440877,2.847974,0.018329
0.020000,128.818423,275.717575,18.272739,20.525477,13.498563,2.884283,0.017457
0.020000,129.234296,275.724642,18.688671,20.796617,13.556971,2.920414,0.016518
0.020000,129.655620,275.731392,19.110050,21.068939,13.616099,2.956373,0.015511
0.020000,130.082422,275.737784,19.536899,21.342460,13.676041,2.997105,0.014433
0.020000,130.514724,275.743777,19.969243,21.617197,13.736855,3.040702,0.013283
0.020000,130.952552,275.749327,20.407106,21.893158,13.798069,3.060712,0.012058
0.020000,131.395931,275.754387,20.850513,22.170365,13.860322,3.112640,0.010756
0.020000,131.844884,275.758909,21.299490,22.448831,13.923309,3.149370,0.009376
0.020000,132.299439,275.762842,21.754061,22.728567,13.986796,3.174355,0.007915
0.020000,132.759619,275.766132,22.214253,23.009590,14.051177,3.219051,0.006372
0.020000,133.225450,275.768723,22.680091,23.291915,14.116247,3.253498,0.004743
0.020000,133.696957,275.770557,23.151602,23.575555,14.181993,3.287275,0.003026
0.020000,134.174167,275.771573,23.628813,23.860523,14.248411,3.320926,0.001220
0.020000,134.657104,275.771707,24.111750,24.146839,14.315793,3.369079,6.282508
0.020000,135.145793,275.770892,24.600440,24.434504,14.383225,3.371605,6.280516
0.020000,135.640260,275.769059,25.094911,24.723541,14.451852,3.431338,6.278428
0.020000,136.140531,275.766135,25.595190,25.013954,14.520660,3.440427,6.276241
0.020000,136.646630,275.762045,26.101305,25.305765,14.590564,3.495178,6.273954
0.020000,137.158581,275.756710,26.613284,25.598974,14.660439,3.493730,6.271563
0.020000,137.676410,275.750048,27.131156,25.893596,14.731119,3.534043,6.269066
0.020000,138.200141,275.741974,27.654949,26.189641,14.802232,3.555655,6.266461
0.020000,138.729797,275.732400,28.184691,26.487116,14.873735,3.575139,6.263746
0.020000,139.265401,275.721233,28.720412,26.786027,14.945583,3.592393,6.260919
0.020000,139.806976,275.708378,29.262140,27.086383,15.017765,3.609103,6.257976
0.020000,140.354544,275.693737,29.809903,27.388187,15.090233,3.623398,6.254915
0.020000,140.908126,275.677205,30.363732,27.691440,15.162657,3.621211,6.251734
0.020000,141.467742,275.658678,30.923655,27.996149,15.235424,3.638337,6.248431
0.020000,142.033412,275.638044,31.489701,28.302308,15.307981,3.627854,6.245003
0.020000,142.605154,275.615190,32.061900,28.609920,15.380561,3.628969,6.241448
0.020000,143.182985,275.589996,32.640279,28.918977,15.452851,3.614532,6.237763
0.020000,143.766920,275.562342,33.224869,29.229474,15.524878,3.601318,6.233946
0.020000,144.356973,275.532101,33.815697,29.541403,15.596451,3.578689,6.229995
0.020000,144.953158,275.499142,34.412792,29.854753,15.667463,3.550570,6.225906
0.020000,145.555485,275.463330,35.016182,30.169503,15.737534,3.503575,6.221679
0.020000,146.163962,275.424528,35.625895,30.485644,15.807057,3.476127,6.217309
0.020000,146.778561,275.382594,36.241923,30.801418,15.788680,-0.918820,6.212797
0.020000,147.399217,275.337387,36.864224,31.115026,15.680411,-5.413454,6.208139
0.020000,148.025862,275.288763,37.492753,31.426439,15.570643,-5.488427,6.203334
0.020000,148.658424,275.236573,38.127464,31.735564,15.456249,-5.719670,6.198381
0.020000,149.296828,275.180668,38.768311,32.042356,15.339606,-5.832192,6.193279
0.020000,149.940996,275.120896,39.415246,32.346739,15.219134,-6.023565,6.188025
0.020000,150.590845,275.057102,40.068218,32.648632,15.094681,-6.222684,6.182620
0.020000,151.246289,274.989128,40.727178,32.947957,14.966215,-6.423256,6.177061
0.020000,151.907237,274.916817,41.392070,33.244627,14.833524,-6.634574,6.171348
0.020000,152.573596,274.840006,42.062841,33.538555,14.696390,-6.856696,6.165481
0.020000,153.245266,274.758535,42.739434,33.829647,14.554597,-7.089647,6.159458
0.020000,153.922143,274.672239,43.421790,34.117782,14.406753,-7.392199,6.153280
0.020000,154.604118,274.580954,44.109847,34.402872,14.254494,-7.612975,6.146946
0.020000,155.291078,274.484514,44.803544,34.684829,14.097875,-7.830929,6.140457
0.020000,155.982903,274.382753,45.502813,34.963454,13.931220,-8.332756,6.133812
0.020000,156.679470,274.275507,46.207588,35.238741,13.764364,-8.342811,6.127011
0.020000,157.380649,274.162608,46.917797,35.510461,13.585981,-8.919123,6.120056
0.020000,158.086303,274.043891,47.633368,35.778533,13.403592,-9.119475,6.112948
0.020000,158.796292,273.919193,48.354224,36.042832,13.214953,-9.431940,6.105686
0.020000,159.510469,273.788351,49.080288,36.303192,13.018009,-9.847208,6.098273
0.020000,160.228681,273.651203,49.811477,36.559462,12.813495,-10.225702,6.090710
0.020000,160.950768,273.507591,50.547707,36.811496,12.601727,-10.588363,6.082999
0.020000,161.676567,273.357358,51.288891,37.059177,12.384032,-10.884762,6.075141
0.020000,162.332932,273.216308,51.960240,33.567480,-174.584821,-9348.442663,6.067353
0.020000,163.135991,273.034252,52.783678,41.171872,380.219596,27740.220867,6.053158
0.020000,163.939094,272.840168,53.609900,41.311090,6.960856,-18662.937019,6.038982
0.020000,164.741792,272.634110,54.438624,41.436221,6.256577,-35.213957,6.024843
0.020000,165.543644,272.416164,55.269568,41.547180,5.547973,-35.430206,6.010759
0.020000,166.344220,272.186439,56.102451,41.644163,4.849114,-34.942949,5.996748
0.020000,167.143098,271.945076,56.936994,41.727178,4.150771,-34.917154,5.982829
0.020000,167.939863,271.692244,57.772912,41.795899,3.436042,-35.736420,5.969019
0.020000,168.734126,271.428134,58.609936,41.851161,2.763091,-33.647573,5.955337
0.020000,169.525503,271.152966,59.447786,41.892538,2.068836,-34.712716,5.941799
0.020000,170.313631,270.866982,60.286198,41.920559,1.401056,-33.389000,5.928423
0.020000,171.098175,270.570444,61.124914,41.935801,0.762124,-31.946602,5.915225
0.020000,171.878810,270.263635,61.963676,41.938102,0.115027,-32.354852,5.902222
0.020000,172.655237,269.946858,62.802238,41.928133,-0.498430,-30.672884,5.889427
0.020000,173.427182,269.620429,63.640364,41.906298,-1.091736,-29.665290,5.876857
0.020000,174.194393,269.284679,64.477825,41.873033,-1.663255,-28.575954,5.864524
0.020000,174.956642,268.939952,65.314401,41.828799,-2.211707,-27.422584,5.852441
0.020000,175.713724,268.586603,66.149882,41.774076,-2.736154,-26.222346,5.840622
0.020000,176.465460,268.224994,66.984069,41.709356,-3.235986,-24.991608,5.829076
0.020000,177.211694,267.855495,67.816772,41.635138,-3.710900,-23.745716,5.817816
0.020000,177.952291,267.478480,68.647811,41.551921,-4.160877,-22.498832,5.806849
0.020000,178.687142,267.094328,69.477015,41.460198,-4.586153,-21.263803,5.796187
0.020000,179.416158,266.703418,70.304224,41.360454,-4.987195,-20.052079,5.785835
0.020000,180.139272,266.306132,71.129287,41.253161,-5.364666,-18.873558,5.775803
0.020000,180.856434,265.902849,71.952062,41.138764,-5.719827,-17.758063,5.766095
0.020000,181.567617,265.493948,72.772416,41.017700,-6.053188,-16.668074,5.756719
0.020000,182.272808,265.079805,73.590224,40.890391,-6.365477,-15.614449,5.747679
0.020000,182.972014,264.660792,74.405368,40.757219,-6.658585,-14.655389,5.738980
0.020000,183.665254,264.237279,75.217739,40.618525,-6.934690,-13.805214,5.730625
0.020000,184.352565,263.809628,76.027233,40.474703,-7.191093,-12.820190,5.722619
0.020000,185.033993,263.378198,76.833754,40.326042,-7.433052,-12.097942,5.714963
0.020000,185.709597,262.943343,77.637209,40.172769,-7.663672,-11.531005,5.707660
0.020000,186.379449,262.505409,78.437514,40.015256,-7.875644,-10.598578,5.700713
0.020000,187.043629,262.064736,79.234588,39.853672,-8.079201,-10.177875,5.694121
0.020000,187.702222,261.621662,80.028352,39.688193,-8.273946,-9.737240,5.687888
0.020000,188.355327,261.176512,80.818734,39.519106,-8.454350,-9.020173,5.682012
0.020000,189.003044,260.729610,81.605663,39.346474,-8.631600,-8.862518,5.676496
0.020000,189.645480,260.281273,82.389073,39.170486,-8.799384,-8.389187,5.671339
0.020000,190.282748,259.831809,83.168899,38.991284,-8.960133,-8.037463,5.666541
0.020000,190.914961,259.381523,83.945076,38.808865,-9.120911,-8.038918,5.662103
0.020000,191.542240,258.930713,84.717545,38.623451,-9.270703,-7.489592,5.658024
0.020000,192.164705,258.479673,85.486245,38.434995,-9.422826,-7.606132,5.654304
0.020000,192.782476,258.028688,86.251117,38.243594,-9.570057,-7.361579,5.650943
0.020000,193.395678,257.578041,87.012102,38.049287,-9.715317,-7.262975,5.647940
0.020000,194.004432,257.128009,87.769143,37.852044,-9.862171,-7.342684,5.645295
0.020000,194.608863,256.678863,88.522182,37.651953,-10.004529,-7.117902,5.643006
0.020000,195.209090,256.230872,89.271161,37.448940,-10.150668,-7.306979,5.641075
0.020000,195.805236,255.784297,90.016022,37.243048,-10.294583,-7.195744,5.639500
0.020000,196.397414,255.339402,90.756702,37.034011,-10.451882,-7.864971,5.638281
0.020000,196.985713,254.896462,91.493107,36.820209,-10.690107,-11.911249,5.637418
0.020000,197.570221,254.455748,92.225145,36.601899,-10.915500,-11.269606,5.636910
0.020000,198.151052,254.017505,92.952758,36.380655,-11.062173,-7.333693,5.636756
0.020000,198.728313,253.581976,93.675887,36.156460,-11.209741,-7.378392,5.636957
0.020000,199.302111,253.149401,94.394472,35.929278,-11.359109,-7.468369,5.637512
0.020000,199.872547,252.720014,95.108454,35.699083,-11.509781,-7.533617,5.638421
0.020000,200.439718,252.294049,95.817771,35.465833,-11.662484,-7.635128,5.639684
0.020000,201.003719,251.871733,96.522362,35.229539,-11.814696,-7.610602,5.641300
0.020000,201.564639,251.453291,97.222164,34.990136,-11.970125,-7.771459,5.643270
0.020000,202.122562,251.038946,97.917117,34.747643,-12.124680,-7.727777,5.645593
0.020000,202.677567,250.628915,98.607158,34.502059,-12.279181,-7.725016,5.648268
0.020000,203.229731,250.223413,99.292225,34.253349,-12.435515,-7.816737,5.651297
0.020000,203.779124,249.822651,99.972257,34.001580,-12.588438,-7.646143,5.654679
0.020000,204.325811,249.426835,100.647192,33.746740,-12.741985,-7.677353,5.658414
0.020000,204.869852,249.036168,101.316969,33.488859,-12.894074,-7.604432,5.662501
0.020000,205.411303,248.650848,101.981530,33.228044,-13.040757,-7.334155,5.666940
0.020000,205.950216,248.271069,102.640816,32.964302,-13.187116,-7.317969,5.671731
0.020000,206.486634,247.897021,103.294770,32.697726,-13.328786,-7.083489,5.676873
0.020000,207.020600,247.528887,103.943339,32.428460,-13.463276,-6.724495,5.682365
0.020000,207.552149,247.166846,104.586471,32.156587,-13.593658,-6.519120,5.688207
0.020000,208.081313,246.811071,105.224116,31.882236,-13.717541,-6.194124,5.694397
0.020000,208.608119,246.461728,105.856228,31.605589,-13.832345,-5.740214,5.700934
0.020000,209.132591,246.118976,106.482765,31.326863,-13.936330,-5.199256,5.707816
0.020000,209.654746,245.782970,107.103689,31.046189,-14.033670,-4.866976,5.715041
0.020000,210.174601,245.453856,107.718965,30.763834,-14.117774,-4.205210,5.722606
0.020000,210.692167,245.131770,108.328566,30.480049,-14.189259,-3.574230,5.730509
0.020000,211.207452,244.816843,108.932469,30.195110,-14.246911,-2.882605,5.738746
0.020000,211.720464,244.509197,109.530655,29.909320,-14.289540,-2.131477,5.747314
0.020000,212.231204,244.208944,110.123115,29.622976,-14.317179,-1.381942,5.756208
0.020000,212.739676,243.916187,110.709843,29.336437,-14.326951,-0.488610,5.765422
0.020000,213.245880,243.631019,111.290845,29.050066,-14.318565,0.419342,5.774952
0.020000,213.749814,243.353525,111.866130,28.764245,-14.291044,1.376003,5.784792
0.020000,214.251477,243.083777,112.435717,28.479375,-14.243505,2.376982,5.794934
0.020000,214.750869,242.821839,112.999634,28.195871,-14.175166,3.416966,5.805371
0.020000,215.247986,242.567764,113.557918,27.914164,-14.085371,4.489724,5.816094
0.020000,215.742830,242.321593,114.110612,27.634692,-13.973608,5.588130,5.827095
0.020000,216.235401,242.083358,114.657770,27.357901,-13.839524,6.704212,5.838364
0.020000,216.725701,241.853080,115.199454,27.084243,-13.682940,7.829234,5.849890
0.020000,217.213734,241.630769,115.735737,26.814107,-13.506781,8.807912,5.861663
0.020000,217.699507,241.416425,116.266697,26.548016,-13.304574,10.110371,5.873669
0.020000,218.183030,241.210037,116.792425,26.286384,-13.081597,11.148838,5.885898
0.020000,218.664312,241.011587,117.313016,26.029565,-12.840940,12.032850,5.898334
0.020000,219.143368,240.821044,117.828575,25.777947,-12.580872,13.003424,5.910964
0.020000,219.620216,240.638370,118.339216,25.532046,-12.295090,14.289093,5.923774
0.020000,220.094873,240.463520,118.845053,25.291887,-12.007950,14.357008,5.936749
0.020000,220.567364,240.296438,119.346216,25.058152,-11.686739,16.060523,5.949872
0.020000,221.037712,240.137061,119.842832,24.830795,-11.367848,15.944561,5.963128
0.020000,221.505941,239.985323,120.335035,24.610119,-11.033798,16.702501,5.976500
0.020000,221.972081,239.841145,120.822963,24.396410,-10.685456,17.417090,5.989972
0.020000,222.436161,239.704449,121.306756,24.189667,-10.337146,17.415517,6.003526
0.020000,222.898209,239.575148,121.786556,23.989962,-9.985246,17.594986,6.017145
0.020000,223.373231,239.448496,122.278172,24.580837,29.543774,1976.451012,6.025553
0.020000,223.937436,239.301180,122.861292,29.155971,228.756687,9960.645631,6.030012
0.020000,224.499537,239.157075,123.441572,29.013992,-7.098954,-11792.782053,6.034425
0.020000,225.059457,239.016144,124.018955,28.869167,-7.241236,-7.114079,6.038791
0.020000,225.617115,238.878355,124.593383,28.721420,-7.387364,-7.306421,6.043109
0.020000,226.172431,238.743672,125.164799,28.570765,-7.532762,-7.269903,6.047379
0.020000,226.725326,238.612060,125.733142,28.417183,-7.679101,-7.316955,6.051601
0.020000,227.275720,238.483481,126.298355,28.260655,-7.826363,-7.363056,6.055774
0.020000,227.823533,238.357900,126.860379,28.101165,-7.974525,-7.408128,6.059898
0.020000,228.368686,238.235278,127.419153,27.938694,-8.123567,-7.452100,6.063972
0.020000,228.911100,238.115579,127.974617,27.773224,-8.273465,-7.494906,6.067997
0.020000,229.450695,237.998763,128.526712,27.604740,-8.424195,-7.536485,6.071972
0.020000,229.987392,237.884792,129.075377,27.433242,-8.574923,-7.536411,6.075897
0.020000,230.521112,237.773626,129.620550,27.258690,-8.727619,-7.634811,6.079772
0.020000,231.051775,237.665227,130.162172,27.081083,-8.880317,-7.634898,6.083596
0.020000,231.579303,237.559554,130.700180,26.900403,-9.034022,-7.685210,6.087369
0.020000,232.103618,237.456567,131.234513,26.716645,-9.187901,-7.693976,6.091092
0.020000,232.624639,237.356226,131.765109,26.529778,-9.343365,-7.773177,6.094764
0.020000,233.142289,237.258491,132.291905,26.339800,-9.498879,-7.775736,6.098384
0.020000,233.656490,237.163320,132.814839,26.146698,-9.655121,-7.812088,6.101954
0.020000,234.167163,237.070672,133.333848,25.950456,-9.812057,-7.846787,6.105472
0.020000,234.674234,236.980506,133.848873,25.751270,-9.959307,-7.362487,6.108939
0.020000,235.177659,236.892775,134.359885,25.550594,-10.033832,-3.726269,6.112355
0.020000,235.677417,236.807427,134.866879,25.349683,-10.045522,-0.584514,6.115721
0.020000,236.173490,236.724414,135.369849,25.148532,-10.057568,-0.602298,6.119036
0.020000,236.665858,236.643685,135.868792,24.947130,-10.070105,-0.626831,6.122302
0.020000,237.154504,236.565193,136.363701,24.745481,-10.082443,-0.616897,6.125519
0.020000,237.639408,236.488888,136.854573,24.543578,-10.095155,-0.635590,6.128686
0.020000,238.120554,236.414723,137.341401,24.341414,-10.108174,-0.650967,6.131805
0.020000,238.597924,236.342653,137.824181,24.138991,-10.121178,-0.650230,6.134877
0.020000,239.071502,236.272630,138.302907,23.936303,-10.134369,-0.659509,6.137900
0.020000,239.541270,236.204610,138.777574,23.733349,-10.147715,-0.667322,6.140876
0.020000,240.007212,236.138548,139.248177,23.530125,-10.161190,-0.673736,6.143806
0.020000,240.469314,236.074401,139.714709,23.326631,-10.174695,-0.675269,6.146690
0.020000,240.927559,236.012124,140.177167,23.122865,-10.188323,-0.681407,6.149527
0.020000,241.381932,235.951675,140.635543,22.918822,-10.202132,-0.690444,6.152320
0.020000,241.832419,235.893014,141.089833,22.714506,-10.215816,-0.684190,6.155067
0.020000,242.279005,235.836097,141.540031,22.509912,-10.229702,-0.694303,6.157770
0.020000,242.721675,235.780885,141.986132,22.305040,-10.243573,-0.693537,6.160429
0.020000,243.160418,235.727338,142.428130,22.099891,-10.257462,-0.694473,6.163045
0.020000,243.595218,235.675416,142.866019,21.894463,-10.271384,-0.696086,6.165618
0.020000,244.026063,235.625081,143.299794,21.688757,-10.285317,-0.696636,6.168148
0.020000,244.452939,235.576295,143.729450,21.482772,-10.299240,-0.696182,6.170636
0.020000,244.875835,235.529020,144.154980,21.276510,-10.313136,-0.694777,6.173082
0.020000,245.294739,235.483221,144.576379,21.069968,-10.327091,-0.697734,6.175487
0.020000,245.709637,235.438860,144.993642,20.863150,-10.340890,-0.689985,6.177852
0.020000,246.120518,235.395903,145.406764,20.656054,-10.354796,-0.695287,6.180176
0.020000,246.527372,235.354315,145.815737,20.448684,-10.368499,-0.685132,6.182460
0.020000,246.930187,235.314061,146.220558,20.241039,-10.382277,-0.688907,6.184706
0.020000,247.328951,235.275108,146.621220,20.033118,-10.396025,-0.687418,6.186912
0.020000,247.723654,235.237423,147.017719,19.824927,-10.409564,-0.676924,6.189080
0.020000,248.114287,235.200973,147.410048,19.616465,-10.423113,-0.677469,6.191210
0.020000,248.500838,235.165728,147.798203,19.407731,-10.436694,-0.679049,6.193302
0.020000,248.883298,235.131655,148.182177,19.198731,-10.449972,-0.663917,6.195357
0.020000,249.261657,235.098724,148.561967,18.989467,-10.463189,-0.660858,6.197376
0.020000,249.635905,235.066905,148.937565,18.779934,-10.476676,-0.674326,6.199359
0.020000,250.006034,235.036169,149.308968,18.570145,-10.489448,-0.638576,6.201305
0.020000,250.372034,235.006486,149.676170,18.360089,-10.502805,-0.667854,6.203217
0.020000,250.733897,234.977829,150.039166,18.149779,-10.515507,-0.635136,6.205094
0.020000,251.091613,234.950169,150.397950,17.939212,-10.528313,-0.640307,6.206936
